"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"MA05-1";"MA05-1";"LEFT, RIGHT";"PIN HEADER";"";
"1";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SJ1";"SMD Solder JUMPER";"";
"3";"0R";"R-EU_R0402";"R0402";"R4, R5, R27";"RESISTOR, European symbol";"";
"4";"100";"R-EU_R0402";"R0402";"R8, R10, R12, R14";"RESISTOR, European symbol";"";
"1";"100k";"R-EU_R0402";"R0402";"R13";"RESISTOR, European symbol";"";
"6";"100nF";"C-EUC0603";"C0603";"C10, C11, C12, C17, C18, C19";"CAPACITOR, European symbol";"";
"13";"10k";"R-EU_R0402";"R0402";"R17, R18, R19, R22, R23, R31, R32, R33, R37, R38, R39, R40, R41";"RESISTOR, European symbol";"";
"6";"10uF";"C-EUC0603";"C0603";"C1, C2, C4, C5, C8, C9";"CAPACITOR, European symbol";"";
"1";"120";"R-EU_R0402";"R0402";"R1";"RESISTOR, European symbol";"";
"2";"1725737";"1725737";"PHOENIX_1725737";"J1, J3";"Check availability";"";
"1";"1N4148W";"1N4148W";"SODFL3816X120N";"D6";"Check availability";"";
"4";"1k";"R-EU_R0402";"R0402";"R6, R7, R24, R25";"RESISTOR, European symbol";"";
"1";"1uF";"C-EUC0603";"C0603";"C14";"CAPACITOR, European symbol";"";
"2";"20k";"R-EU_R0402";"R0402";"R2, R3";"RESISTOR, European symbol";"";
"1";"220pF";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";
"1";"22k1";"R-EU_R0402";"R0402";"R35";"RESISTOR, European symbol";"";
"1";"2k";"R-EU_R0402";"R0402";"R36";"RESISTOR, European symbol";"";
"1";"2k1";"R-EU_R0402";"R0402";"R9";"RESISTOR, European symbol";"";
"1";"4,7uF";"C-EUC0603";"C0603";"C20";"CAPACITOR, European symbol";"";
"1";"47k5";"R-EU_R0402";"R0402";"R34";"RESISTOR, European symbol";"";
"1";"510";"R-EU_R0402";"R0402";"R11";"RESISTOR, European symbol";"";
"2";"5k1";"R-EU_R0402";"R0402";"R28, R29";"RESISTOR, European symbol";"";
"1";"BOOT";"SKRKAEE010";"SKRK";"S2";"Tactile Switches 3.9x2.9x2.0mm 160gf Packaging Temp 60oC";"";
"1";"CP2102";"CP2102";"QFN50P500X500X100-29N";"U8";"Check availability";"";
"1";"CSP-USC16-TR";"CSP-USC16-TR";"VALCON_CSP-USC16-TR";"J4";"Check availability";"";
"1";"ESP32-S3-MINI-1-N8";"ESP32-S3-MINI-1-N8";"XCVR_ESP32-S3-MINI-1-N8";"U2";"Check availability";"";
"1";"G6K-2F-Y-DC12";"G6K-2F-Y-DC12";"G6K";"U16";"Check availability";"";
"1";"IRLML6344";"IRLML6344";"SOT23";"Q1";"Check availability";"";
"6";"LESD5D5.0CT1G";"LESD5D5.0CT1G";"TVS_LESD5D5.0CT1G";"D2, D4, D10, D11, D12, D13";"Check availability";"";
"1";"LM358PW";"LM358PW";"SOP65P640X120-8N";"U7";"Check availability";"";
"1";"LQH2MCN100M52L";"LQH2MCN100M52L";"IND_LQH2MCN100M52L";"L1";"Check availability";"";
"1";"MAX485ESA+T";"MAX485ESA+T";"SOIC127P600X175-8N";"U5";"Check availability";"";
"1";"MBRS540T3G";"MBRS540T3G";"DIOM7959X261N";"D1";"Check availability";"";
"1";"MCP4725A1T-E/CH";"MCP4725A1T-E/CH";"SOT23-6";"U6";"Check availability";"";
"1";"PJ-018H";"PJ-018H";"CUI_PJ-018H";"J2";"Check availability";"";
"1";"PMEG3030EP";"PMEG3030EP";"SOD_128";"D5";"Check availability";"";
"1";"R-78E3.3-1.0";"R-78E3.3-1.0";"CONV_R-78E3.3-1.0";"PS1";"Check availability";"";
"1";"RESET";"SKRKAEE010";"SKRK";"S3";"Tactile Switches 3.9x2.9x2.0mm 160gf Packaging Temp 60oC";"";
"2";"SI2302DS";"SI2302DS";"SOT23-3/TO-236AB";"Q3, Q6";"Check availability";"";
"1";"SK68XXMINI-HS";"SK68XXMINI-HS";"3535";"D7";"";"";
"1";"SKRKAEE010";"SKRKAEE010";"SKRK";"S1";"Tactile Switches 3.9x2.9x2.0mm 160gf Packaging Temp 60oC";"";
"1";"SS14";"SS14";"DIOM4325X250N";"D3";"Check availability";"";
"2";"SS8050-G";"SS8050-G";"TRANS_SS8050-G";"Q2, Q5";"Check availability";"";
"7";"TPTP13R";"TPTP13R";"TP13R";"D+, D-, EN, IO0, IO39, RXD, TXD";"Test pad";"";
